Date,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1/12/2021,USA,"49,428,913",,"803,045 ",,"39,205,902",,"9,419,966","13,201","148,104","2,406","753,993,369","2,259,195","333,744,223 ",North America,7,416,0,,,"28,225"
1/12/2021,India,"34,596,776",,"469,247 ",,"34,028,506","+10,207","99,023","8,944","24,727",335,"642,412,315","459,141","1,399,161,383 ",Asia,40,"2,982",2,,,71
1/12/2021,Brazil,"22,094,459",,"614,754 ",,"21,321,631",,"158,074","8,318","102,912","2,863","63,776,166","297,057","214,693,373 ",South America,10,349,3,,,736
1/12/2021,UK,"10,228,772",,"144,969 ",,"9,062,561",,"1,021,242",916,"149,566","2,120","362,531,048","5,300,958","68,389,728 ",Europe,7,472,0,,,"14,933"
1/12/2021,Russia,"9,636,881",,"275,193 ",,"8,329,253",,"1,032,435","2,300","65,996","1,885","224,900,000","1,540,170","146,022,882 ",Europe,15,531,1,,,"7,070"
1/12/2021,Turkey,"8,795,588",,"76,842 ",,"8,326,381",,"392,365","1,405","102,728",897,"107,680,920","1,257,656","85,620,347 ",Asia,10,"1,114",1,,,"4,583"
1/12/2021,France,"7,675,504",,"119,131 ",,"7,124,909",,"431,464","1,824","117,223","1,819","162,981,031","2,489,112","65,477,576 ",Europe,9,550,0,,,"6,589"
1/12/2021,Iran,"6,117,445",,"129,830 ",,"5,883,470",,"104,145","3,334","71,540","1,518","38,439,240","449,527","85,510,446 ",Asia,14,659,2,,,"1,218"
1/12/2021,Germany,"5,881,423",,"102,137 ",,"4,937,600","+44,300","841,686","4,459","69,882","1,214","83,816,414","995,889","84,162,420 ",Europe,14,824,1,,,"10,001"
1/12/2021,Argentina,"5,330,748",,"116,589 ",,"5,193,691",,"20,468",617,"116,439","2,547","26,222,843","572,784","45,781,390 ",South America,9,393,2,,,447
1/12/2021,Spain,"5,164,184",,"88,052 ",,"4,923,140",,"152,992",713,"110,392","1,882","66,213,858","1,415,420","46,780,367 ",Europe,9,531,1,,,"3,270"
1/12/2021,Colombia,"5,069,644",,"128,528 ",,"4,909,572",,"31,544",342,"98,156","2,489","28,112,712","544,307","51,648,595 ",South America,10,402,2,,,611
1/12/2021,Italy,"5,028,547",,"133,828 ",,"4,700,449",,"194,270",683,"83,342","2,218","119,331,735","1,977,780","60,336,188 ",Europe,12,451,1,,,"3,220"
1/12/2021,Indonesia,"4,256,409",,"143,830 ",,"4,104,657",,"7,922",,"15,332",518,"54,475,477","196,232","277,607,186 ",Asia,65,"1,930",5,,,29
1/12/2021,Mexico,"3,887,873","+3,307","294,246 ",+296,"3,245,219","+2,272","348,408","4,798","29,714","2,249","11,861,186","90,650","130,845,299 ",North America,34,445,11,25,2,"2,663"
1/12/2021,Poland,"3,540,061",,"83,583 ",,"3,038,451",,"418,027","1,825","93,682","2,212","24,340,316","644,128","37,788,035 ",Europe,11,452,2,,,"11,062"
1/12/2021,Ukraine,"3,450,341","+11,960","86,532  ",+557,"2,972,192","+26,160","391,617",177,"79,570","1,996","15,917,165","367,073","43,362,378 ",Europe,13,501,3,276,13,"9,031"
1/12/2021,South Africa,"2,968,052",,"89,843 ",,"2,849,558",,"28,651",546,"49,169","1,488","19,477,054","322,659","60,364,210 ",Africa,20,672,3,,,475
1/12/2021,Philippines,"2,832,734",,"48,545 ",,"2,768,389",,"15,800","1,023","25,374",435,"24,238,501","217,114","111,639,683 ",Asia,39,"2,300",5,,,142
1/12/2021,Netherlands,"2,643,176",,"19,414 ",,"2,112,638",,"511,124",604,"153,776","1,129","19,205,114","1,117,327","17,188,438 ",Europe,7,885,1,,,"29,737"
1/12/2021,Malaysia,"2,632,782",,"30,425 ",,"2,537,204",,"65,153",509,"79,899",923,"37,735,175","1,145,179","32,951,341 ",Asia,13,"1,083",1,,,"1,977"
1/12/2021,Peru,"2,236,351",,"201,176 ",,N/A,N/A,N/A,971,"66,518","5,984","20,314,089","604,225","33,620,094 ",South America,15,167,2,,,"9,355"
1/12/2021,Czechia,"2,172,084","+21,973","33,186 ",+54,"1,860,920",+460,"277,978","1,069","202,298","3,091","43,809,304","4,080,199","10,737,051 ",Europe,5,324,0,"2,046",5,"25,890"
1/12/2021,Thailand,"2,120,758","+4,886","20,812 ",+43,"2,025,754","+6,326","74,192","1,369","30,276",297,"14,913,135","212,901","70,047,428 ",Asia,33,"3,366",5,70,0.6,"1,059"
1/12/2021,Iraq,"2,081,172",,"23,820 ",,"2,045,021",,"12,331",103,"50,155",574,"16,341,046","393,807","41,495,089 ",Asia,20,"1,742",3,,,297
1/12/2021,Canada,"1,792,500",,"29,687 ",,"1,737,256",,"25,557",497,"46,912",777,"48,807,147","1,277,358","38,209,443 ",North America,21,"1,287",1,,,669
1/12/2021,Romania,"1,779,667",,"56,529 ",,"1,686,752",,"36,386","1,146","93,390","2,966","16,019,397","840,636","19,056,290 ",Europe,11,337,1,,,"1,909"
1/12/2021,Belgium,"1,766,035","+16,566","27,015 ",+49,"1,340,916","+7,106","398,104",760,"151,450","2,317","24,726,131","2,120,435","11,660,874 ",Europe,7,432,0,"1,421",4,"34,140"
1/12/2021,Chile,"1,762,751",,"38,346 ",,"1,656,702",,"67,703",696,"91,108","1,982","25,592,070","1,322,730","19,347,920 ",South America,11,505,1,,,"3,499"
1/12/2021,Japan,"1,727,304",+83,"18,360 ",+1,"1,708,079",+73,865,43,"13,716",146,"27,926,519","221,764","125,929,267 ",Asia,73,"6,859",5,0.7,0.01,7
1/12/2021,Bangladesh,"1,576,284",,"27,981 ",,"1,540,965",,"7,338","1,382","9,438",168,"10,888,751","65,200","167,006,043 ",Asia,106,"5,969",15,,,44
1/12/2021,Israel,"1,343,660",,"8,196 ",,"1,329,800",,"5,664",115,"144,077",879,"31,188,024","3,344,202","9,326,000 ",Asia,7,"1,138",0,,,607
1/12/2021,Pakistan,"1,285,254",+414,"28,737 ",+9,"1,242,354",+118,"14,163",896,"5,663",127,"22,028,156","97,065","226,941,972 ",Asia,177,"7,897",10,2,0.04,62
1/12/2021,Serbia,"1,254,845",,"11,691 ",,"1,193,265",,"49,889",199,"144,440","1,346","6,814,207","784,358","8,687,629 ",Europe,7,743,1,,,"5,743"
1/12/2021,Vietnam,"1,238,082",,"25,252 ",,"989,348",,"223,482","5,788","12,560",256,"68,317,914","693,053","98,575,292 ",Asia,80,"3,904",1,,,"2,267"
1/12/2021,Sweden,"1,204,859",,"15,119 ",,"1,158,493",,"31,247",42,"118,260","1,484","13,708,481","1,345,524","10,188,210 ",Europe,8,674,1,,,"3,067"
1/12/2021,Austria,"1,159,995",,"12,492  ",,"1,007,909",,"139,594",642,"127,767","1,376","110,579,782","12,179,754","9,078,983 ",Europe,8,727,0,,,"15,376"
1/12/2021,Portugal,"1,147,249",,"18,441 ",,"1,075,237",,"53,571",116,"112,977","1,816","21,283,107","2,095,889","10,154,691 ",Europe,9,551,0,,,"5,275"
1/12/2021,Hungary,"1,103,108",,"34,521 ",,"882,659",,"185,928",513,"114,600","3,586","8,443,744","877,210","9,625,685 ",Europe,9,279,1,,,"19,316"
1/12/2021,Switzerland,"1,009,900",,"11,541 ",,"861,500",,"136,859",203,"115,496","1,320","12,403,612","1,418,527","8,744,009 ",Europe,9,758,1,,,"15,652"
1/12/2021,Kazakhstan,"972,292",+751,"12,703 ",+7,"937,383","+1,433","22,206",528,"50,922",665,"11,575,012","606,220","19,093,759 ",Asia,20,"1,503",2,39,0.4,"1,163"
1/12/2021,Cuba,"962,486",,"8,304 ",,"953,337",,845,23,"85,049",734,"11,097,946","980,657","11,316,847 ",North America,12,"1,363",1,,,75
1/12/2021,Jordan,"953,943",,"11,608 ",,"887,074",,"55,261","1,064","92,203","1,122","12,169,073","1,176,193","10,346,151 ",Asia,11,891,1,,,"5,341"
1/12/2021,Morocco,"949,917",,"14,776 ",,"932,291",,"2,850",347,"25,312",394,"10,444,492","278,311","37,528,160 ",Africa,40,"2,540",4,,,76
1/12/2021,Greece,"938,903",,"18,157 ",,"843,050",,"77,696",664,"90,706","1,754","36,357,597","3,512,440","10,351,094 ",Europe,11,570,0,,,"7,506"
1/12/2021,Georgia,"850,102","+4,459","12,119 ",+65,"792,158","+3,957","45,825",,"213,682","3,046","11,612,050","2,918,813","3,978,346 ",Asia,5,328,0,"1,121",16,"11,519"
1/12/2021,Nepal,"821,366",,"11,526 ",,"802,909",,"6,931",,"27,492",386,"4,622,560","154,724","29,876,090 ",Asia,36,"2,592",6,,,232
1/12/2021,UAE,"742,041",,"2,147 ",,"736,939",,"2,955",,"73,768",213,"101,356,006","10,076,061","10,059,090 ",Asia,14,"4,685",0,,,294
1/12/2021,Tunisia,"717,572",,"25,373 ",,"691,031",,"1,168",58,"59,831","2,116","3,177,078","264,906","11,993,220 ",Africa,17,473,4,,,97
1/12/2021,Bulgaria,"695,057",,"28,453 ",,"561,485",,"105,119",717,"101,106","4,139","6,576,558","956,659","6,874,506 ",Europe,10,242,1,,,"15,291"
1/12/2021,Slovakia,"680,084",,"14,418 ",,"555,448",,"110,218",585,"124,480","2,639","4,585,219","839,264","5,463,379 ",Europe,8,379,1,,,"20,174"
1/12/2021,Lebanon,"670,656",,"8,725 ",,"633,299",,"28,632",186,"98,884","1,286","4,795,578","707,078","6,782,245 ",Asia,10,777,1,,,"4,222"
1/12/2021,Belarus,"654,718",,"5,081 ",,"641,570",,"8,067",,"69,320",538,"10,386,520","1,099,693","9,444,931 ",Europe,14,"1,859",1,,,854
1/12/2021,Guatemala,"617,984",,"15,943 ",,"600,621",,"1,420",5,"33,617",867,"3,120,035","169,723","18,383,054 ",North America,30,"1,153",6,,,77
1/12/2021,Croatia,"608,205",,"10,899 ",,"567,869",,"29,437",314,"149,455","2,678","3,449,298","847,601","4,069,482 ",Europe,7,373,1,,,"7,234"
1/12/2021,Azerbaijan,"588,318",,"7,856 ",,"554,749",,"25,713",,"57,295",765,"5,539,284","539,459","10,268,225 ",Asia,17,"1,307",2,,,"2,504"
1/12/2021,Ireland,"570,115",,"5,652 ",,"441,593",,"122,870",122,"113,667","1,127","8,983,297","1,791,052","5,015,655 ",Europe,9,887,1,,,"24,497"
1/12/2021,Costa Rica,"566,839",,"7,299 ",,"548,020",,"11,520",83,"109,857","1,415","2,715,029","526,188","5,159,803 ",North America,9,707,2,,,"2,233"
1/12/2021,Sri Lanka,"563,989",,"14,346 ",,"529,662",,"19,981",,"26,183",666,"5,640,979","261,883","21,540,081 ",Asia,38,"1,501",4,,,928
1/12/2021,Saudi Arabia,"549,752",,"8,836 ",,"538,913",,"2,003",40,"15,452",248,"31,494,154","885,191","35,578,933 ",Asia,65,"4,027",1,,,56
1/12/2021,Bolivia,"537,559",,"19,171 ",,"492,921",,"25,467",220,"45,182","1,611","2,593,083","217,947","11,897,757 ",South America,22,621,5,,,"2,140"
1/12/2021,Ecuador,"526,870",,"33,250 ",,"443,880",,"49,740",759,"29,236","1,845","2,013,368","111,723","18,021,114 ",South America,34,542,9,,,"2,760"
1/12/2021,Myanmar,"522,402",,"19,104 ",,"497,249",,"6,049",,"9,511",348,"5,583,908","101,664","54,924,965 ",Asia,105,"2,875",10,,,110
1/12/2021,Denmark,"487,401",,"2,895 ",,"403,118",,"81,388",60,"83,731",497,"93,815,873","16,116,747","5,821,018 ",Europe,12,"2,011",0,,,"13,982"
1/12/2021,Panama,"477,742",,"7,365 ",,"467,826",,"2,551",20,"108,317","1,670","4,236,620","960,552","4,410,610 ",North America,9,599,1,,,578
1/12/2021,Lithuania,"470,298",,"6,737 ",,"435,768",,"27,793",127,"176,235","2,525","6,143,115","2,302,015","2,668,582 ",Europe,6,396,0,,,"10,415"
1/12/2021,Paraguay,"463,058",,"16,472 ",,"445,793",,793,38,"63,815","2,270","1,948,511","268,530","7,256,214 ",South America,16,441,4,,,109
1/12/2021,S. Korea,"452,350","+5,120","3,658 ",+34,"398,323","+2,253","50,369",723,"8,812",71,"15,804,065","307,882","51,331,529 ",Asia,113,"14,033",3,100,0.7,981
1/12/2021,Venezuela,"431,296",,"5,144 ",,"418,472",,"7,680",681,"15,228",182,"3,359,014","118,601","28,322,074 ",South America,66,"5,506",8,,,271
1/12/2021,Palestine,"430,443",,"4,535 ",,"422,781",,"3,127",42,"81,700",861,"2,736,577","519,413","5,268,600 ",Asia,12,"1,162",2,,,594
1/12/2021,Slovenia,"420,898",,"5,224 ",,"378,536",,"37,138",190,"202,419","2,512","1,936,323","931,219","2,079,342 ",Europe,5,398,1,,,"17,860"
1/12/2021,Kuwait,"413,362",,"2,465 ",,"410,627",,270,,"94,814",565,"5,330,503","1,222,677","4,359,700 ",Asia,11,"1,769",1,,,62
1/12/2021,Dominican Republic,"407,251",,"4,204 ",,"399,896",,"3,151",186,"37,018",382,"2,458,249","223,447","11,001,505 ",North America,27,"2,617",4,,,286
1/12/2021,Uruguay,"399,695",,"6,131 ",,"391,489",,"2,075",12,"114,502","1,756","4,109,262","1,177,190","3,490,737 ",South America,9,569,1,,,594
1/12/2021,Mongolia,"382,082",+554,"2,005 ",+2,"313,256",,"66,821",192,"113,960",598,"4,030,048","1,202,002","3,352,781 ",Asia,9,"1,672",1,165,0.6,"19,930"
1/12/2021,Honduras,"377,888",,"10,403 ",,"120,308",,"247,177",59,"37,315","1,027","1,121,382","110,733","10,126,888 ",North America,27,973,9,,,"24,408"
1/12/2021,Libya,"372,636",,"5,456 ",,"345,986",,"21,194",,"53,210",779,"1,908,835","272,567","7,003,170 ",Africa,19,"1,284",4,,,"3,026"
1/12/2021,Ethiopia,"371,536",,"6,755 ",,"349,037",,"15,744",233,"3,123",57,"3,871,923","32,543","118,977,453 ",Africa,320,"17,613",31,,,132
1/12/2021,Moldova,"363,774",,"9,119 ",,"363,774",,"-9,119",206,"90,475","2,268","2,210,968","549,895","4,020,713 ",Europe,11,441,2,,,"-2,268.01"
1/12/2021,Egypt,"358,578",,"20,474 ",,"297,536",,"40,568",90,"3,413",195,"3,693,367","35,156","105,056,935 ",Africa,293,"5,131",28,,,386
1/12/2021,Armenia,"339,020",+502,"7,610 ",+43,"317,765",+590,"13,645",,"114,107","2,561","2,373,959","799,025","2,971,068 ",Asia,9,390,1,169,14,"4,593"
1/12/2021,Oman,"304,554",,"4,113 ",,"300,005",,436,4,"57,575",778,"25,000,000","4,726,190","5,289,673 ",Asia,17,"1,286",0,,,82
1/12/2021,Bahrain,"277,690",,"1,394 ",,"275,953",,343,2,"155,582",781,"7,401,706","4,146,981","1,784,842 ",Asia,6,"1,280",0,,,192
1/12/2021,Bosnia and Herzegovina,"275,065",,"12,586 ",,"192,218",,"70,261",,"84,584","3,870","1,397,409","429,711","3,251,974 ",Europe,12,258,2,,,"21,606"
1/12/2021,Norway,"267,843",,"1,054 ",,"88,952",,"177,837",59,"48,867",192,"8,592,158","1,567,596","5,481,106 ",Europe,20,"5,200",1,,,"32,445"
1/12/2021,Singapore,"264,725",,718 ,,"251,533",,"12,474",65,"44,752",121,"21,098,774","3,566,802","5,915,319 ",Asia,22,"8,239",0,,,"2,109"
1/12/2021,Kenya,"255,088",,"5,335 ",,"248,318",,"1,435",20,"4,601",96,"2,835,065","51,136","55,441,352 ",Africa,217,"10,392",20,,,26
1/12/2021,Latvia,"253,659",,"4,179 ",,"236,997",,"12,483",171,"136,617","2,251","5,334,912","2,873,307","1,856,715 ",Europe,7,444,0,,,"6,723"
1/12/2021,Qatar,"243,447",,611 ,,"240,791",,"2,045",15,"86,704",218,"2,993,286","1,066,059","2,807,805 ",Asia,12,"4,595",1,,,728
1/12/2021,Estonia,"222,584",,"1,798 ",,"202,174",,"18,612",35,"167,634","1,354","2,334,155","1,757,917","1,327,796 ",Europe,6,738,1,,,"14,017"
1/12/2021,North Macedonia,"215,585",,"7,581 ",,"200,003",,"8,001",,"103,485","3,639","1,471,420","706,309","2,083,253 ",Europe,10,275,1,,,"3,841"
1/12/2021,Nigeria,"214,218",,"2,977 ",,"207,304",,"3,937",11,"1,004",14,"3,479,682","16,310","213,341,137 ",Africa,996,"71,663",61,,,18
1/12/2021,Australia,"211,654","+1,415","2,011 ",+5,"192,746",,"16,897",71,"8,166",78,"48,067,879","1,854,645","25,917,562 ",Australia/Oceania,122,"12,888",1,55,0.2,652
1/12/2021,Algeria,"210,531",,"6,071 ",,"144,450",,"60,010",14,"4,682",135,"230,861","5,134","44,968,076 ",Africa,214,"7,407",195,,,"1,335"
1/12/2021,Zambia,"210,169",,"3,667 ",,"206,406",,96,7,"10,998",192,"2,721,665","142,426","19,109,375 ",Africa,91,"5,211",7,,,5
1/12/2021,Albania,"199,945",,"3,096 ",,"189,784",,"7,065",23,"69,586","1,077","1,394,136","485,194","2,873,357 ",Europe,14,928,2,,,"2,459"
1/12/2021,Botswana,"195,068",,"2,418 ",,"192,048",,602,1,"80,654","1,000","1,869,359","772,912","2,418,592 ",Africa,12,"1,000",1,,,249
1/12/2021,Uzbekistan,"193,424",+216,"1,406 ",+4,"190,028",+169,"1,990",23,"5,663",41,"1,377,915","40,344","34,153,753 ",Asia,177,"24,291",25,6,0.1,58
1/12/2021,Finland,"186,538",,"1,335 ",,"46,000",,"139,203",51,"33,593",240,"7,896,869","1,422,121","5,552,881 ",Europe,30,"4,159",1,,,"25,069"
1/12/2021,Kyrgyzstan,"183,404",+53,"2,749 ",+3,"178,332",+102,"2,323",131,"27,472",412,"1,836,381","275,069","6,676,068 ",Asia,36,"2,429",4,8,0.4,348
1/12/2021,Montenegro,"157,376",,"2,307 ",,"152,495",,"2,574",60,"250,528","3,673","906,988","1,443,839","628,178 ",Europe,4,272,1,,,"4,098"
1/12/2021,Afghanistan,"157,289",,"7,308 ",,"140,549",,"9,432","1,124","3,916",182,"792,156","19,723","40,164,434 ",Asia,255,"5,496",51,,,235
1/12/2021,Mozambique,"151,548",,"1,941 ",,"149,514",,93,8,"4,665",60,"977,894","30,099","32,489,229 ",Africa,214,"16,738",33,,,3
1/12/2021,Zimbabwe,"134,625",,"4,707 ",,"128,747",,"1,171",12,"8,875",310,"1,593,325","105,043","15,168,267 ",Africa,113,"3,222",10,,,77
1/12/2021,Cyprus,"134,473",,597 ,,"124,370",,"9,506",51,"110,244",489,"9,477,138","7,769,598","1,219,772 ",Asia,9,"2,043",0,,,"7,793"
1/12/2021,Ghana,"130,920",,"1,209 ",,"129,042",,669,5,"4,093",38,"1,933,408","60,442","31,987,619 ",Africa,244,"26,458",17,,,21
1/12/2021,Namibia,"129,187",,"3,573 ",,"125,487",,127,2,"49,576","1,371","787,883","302,355","2,605,818 ",Africa,20,729,3,,,49
1/12/2021,Uganda,"127,512",,"3,252 ",,"97,537",,"26,723",115,"2,669",68,"1,958,401","40,992","47,775,449 ",Africa,375,"14,691",24,,,559
1/12/2021,Cambodia,"120,160",+26,"2,944 ",+4,"116,529",+22,687,,"7,049",173,"2,719,826","159,562","17,045,531 ",Asia,142,"5,790",6,2,0.2,40
1/12/2021,El Salvador,"119,803",,"3,776 ",,"102,982",,"13,045",336,"18,340",578,"1,440,742","220,552","6,532,435 ",North America,55,"1,730",5,,,"1,997"
1/12/2021,Cameroon,"106,794",,"1,791 ",,"102,716",,"2,287",152,"3,887",65,"1,751,774","63,754","27,477,249 ",Africa,257,"15,342",16,,,83
1/12/2021,Rwanda,"100,349",,"1,342 ",,"45,522",,"53,485",1,"7,486",100,"3,480,201","259,624","13,404,774 ",Africa,134,"9,989",4,,,"3,990"
1/12/2021,Maldives,"91,650",,250 ,,"89,774",,"1,626",23,"165,441",451,"1,751,178","3,161,114","553,975 ",Asia,6,"2,216",0,,,"2,935"
1/12/2021,Jamaica,"91,249",,"2,392 ",,"62,642",,"26,215",11,"30,626",803,"672,626","225,757","2,979,425 ",North America,33,"1,246",4,,,"8,799"
1/12/2021,Luxembourg,"89,181",,875 ,,"83,919",,"4,387",12,"139,270","1,366","3,688,070","5,759,487","640,347 ",Europe,7,732,0,,,"6,851"
1/12/2021,Senegal,"73,987",,"1,885 ",,"72,091",,11,2,"4,261",109,"874,023","50,330","17,365,747 ",Africa,235,"9,213",20,,,0.6
1/12/2021,Laos,"73,738",,170 ,,"7,339",,"66,229",,"9,932",23,"788,302","106,175","7,424,555 ",Asia,101,"43,674",9,,,"8,920"
1/12/2021,Trinidad and Tobago,"71,361",,"2,158 ",,"58,363",,"10,840",22,"50,759","1,535","445,676","317,006","1,405,890 ",North America,20,651,3,,,"7,710"
1/12/2021,Angola,"65,168",,"1,733 ",,"63,214",,221,3,"1,900",51,"1,179,270","34,375","34,306,210 ",Africa,526,"19,796",29,,,6
1/12/2021,Malawi,"61,916",,"2,306 ",,"58,807",,803,67,"3,123",116,"442,053","22,296","19,826,625 ",Africa,320,"8,598",45,,,41
1/12/2021,Ivory Coast,"61,724",,704 ,,"60,739",,281,,"2,261",26,"1,151,972","42,198","27,298,982 ",Africa,442,"38,777",24,,,10
1/12/2021,Réunion,"61,188",,384 ,,"57,781",,"3,023",18,"67,661",425,"1,347,378","1,489,909","904,336 ",Africa,15,"2,355",1,,,"3,343"
1/12/2021,DRC,"58,234",,"1,107 ",,"50,930",,"6,197",,624,12,"306,299","3,280","93,396,693 ",Africa,"1,604","84,369",305,,,66
1/12/2021,Guadeloupe,"55,147",,746 ,,"2,250",,"52,151",23,"137,791","1,864","551,264","1,377,399","400,221 ",North America,7,536,1,,,"130,306"
1/12/2021,Fiji,"52,506",,696 ,,"51,037",,773,,"57,978",769,"460,369","508,347","905,619 ",Australia/Oceania,17,"1,301",2,,,854
1/12/2021,Suriname,"50,848",+25,"1,167 ",+1,"29,574",+4,"20,107",8,"85,595","1,964","159,736","268,891","594,054 ",South America,12,509,4,42,2,"33,847"
1/12/2021,Syria,"48,170",,"2,749 ",,"29,172",,"16,249",,"2,661",152,"103,566","5,722","18,099,930 ",Asia,376,"6,584",175,,,898
1/12/2021,Eswatini,"46,656",,"1,248 ",,"45,242",,166,10,"39,636","1,060","388,843","330,333","1,177,124 ",Africa,25,943,3,,,141
1/12/2021,French Guiana,"46,014",,327 ,,"11,254",,"34,433",9,"148,627","1,056","451,659","1,458,880","309,593 ",South America,7,947,1,,,"111,220"
